Title,Note,URL,Tags,Comment
,,,,
74 Duke,,https://www.google.com/maps/place/74+Duke/data=!4m2!3m1!1s0x48760526ce597b17:0xd2dfb755ce76ac1a,,
Nina,,https://www.google.com/maps/place/Nina/data=!4m2!3m1!1s0x48761ad28c695555:0x30c4a34fa82b15de,,
Paulie's Shoreditch,,https://www.google.com/maps/place/Paulie's+Shoreditch/data=!4m2!3m1!1s0x48761d7c8a074f15:0x876d72c25e870332,,
Puffy,,https://www.google.com/maps/place/Puffy/data=!4m2!3m1!1s0x48760500279b90cb:0xbaaa282f716bf1b7,,
Dove Restaurant,,https://www.google.com/maps/place/Dove+Restaurant/data=!4m2!3m1!1s0x4876118aacddb611:0x12530b5e47bc4324,,
Heist Bank,,https://www.google.com/maps/place/Heist+Bank/data=!4m2!3m1!1s0x48761ab23fb82b9d:0x37a776cbee19b92f,,
Two Twins Tacos,,https://www.google.com/maps/place/Two+Twins+Tacos/data=!4m2!3m1!1s0x487605000d34ea0f:0x37f0aee3e92fe39f,,
Maureen's Brixton Kitchen,,https://www.google.com/maps/place/Maureen's+Brixton+Kitchen/data=!4m2!3m1!1s0x487605003241bfc7:0xe96b7238438b197b,,
Hongdae Pocha,,https://www.google.com/maps/place/Hongdae+Pocha/data=!4m2!3m1!1s0x487604d2ed63dadd:0x34681d8dccc8062a,,
DOPI 도피소,,https://www.google.com/maps/place/DOPI+%EB%8F%84%ED%94%BC%EC%86%8C/data=!4m2!3m1!1s0x48761d0062ac6cc9:0x898c3f5c99a81468,,
The Shacklewell Arms,,https://www.google.com/maps/place/The+Shacklewell+Arms/data=!4m2!3m1!1s0x48761c8b5aa624ab:0xcada1dd9d30176d9,,
Windmill Brixton,,https://www.google.com/maps/place/Windmill+Brixton/data=!4m2!3m1!1s0x4876044739d5699d:0x4f199c0a15062a0b,,
Hermanos Colombian Coffee Roasters – The Loom,Coffee/coworking,https://www.google.com/maps/place/Hermanos+Colombian+Coffee+Roasters+%E2%80%93+The+Loom/data=!4m2!3m1!1s0x4876031082482b21:0x299b8aa33c0b153a,,
Afghan Kitchen,,https://www.google.com/maps/place/Afghan+Kitchen/data=!4m2!3m1!1s0x48761b5d7f949f69:0x8c807fd2c7bbfea1,,
My Old Dutch,Pancakes / milkshakes ,https://www.google.com/maps/place/My+Old+Dutch/data=!4m2!3m1!1s0x48761b348aa40c7f:0xf78ee0a2ec43d9e7,,
Soutine,,https://www.google.com/maps/place/Soutine/data=!4m2!3m1!1s0x48761b8f911a8af9:0x1e39425a9938a476,,
68 Kestrel House,ur listening to the streets ,https://www.google.com/maps/place/68+Kestrel+House/data=!4m2!3m1!1s0x48761b71ff1e7da3:0x86cac762ab33eebb,,
Banh Mi Keu Deli Borough,,https://www.google.com/maps/place/Banh+Mi+Keu+Deli+Borough/data=!4m2!3m1!1s0x4876031327e41e73:0x6d35601df8bbd4fa,,
